id,known,name,products,sameAs/0,url
en:corn-flour,True,Corn flour,13464,,https://world.openfoodfacts.org/ingredient/corn-flour
en:sesame,True,Sesame,13423,https://www.wikidata.org/wiki/Q2763698,https://world.openfoodfacts.org/ingredient/sesame
en:hazelnut,True,Hazelnut,13417,https://www.wikidata.org/wiki/Q578307,https://world.openfoodfacts.org/ingredient/hazelnut
en:e170,True,E170,13413,,https://world.openfoodfacts.org/ingredient/e170
en:e296,True,E296,13397,https://www.wikidata.org/wiki/Q190143,https://world.openfoodfacts.org/ingredient/e296
en:rapeseed,True,Rapeseed,13364,https://www.wikidata.org/wiki/Q177932,https://world.openfoodfacts.org/ingredient/rapeseed
en:e509,True,E509,13191,https://www.wikidata.org/wiki/Q208451,https://world.openfoodfacts.org/ingredient/e509
en:ginger,True,Ginger,13082,,https://world.openfoodfacts.org/ingredient/ginger
en:e955,True,E955,12957,https://www.wikidata.org/wiki/Q410209,https://world.openfoodfacts.org/ingredient/e955
en:butterfat,True,Butterfat,12885,https://www.wikidata.org/wiki/Q909729,https://world.openfoodfacts.org/ingredient/butterfat
en:dehydrated-onion,True,Dehydrated onion,12879,,https://world.openfoodfacts.org/ingredient/dehydrated-onion
en:dough,True,Dough,12767,https://www.wikidata.org/wiki/Q178024,https://world.openfoodfacts.org/ingredient/dough
en:whole-milk,True,Whole milk,12713,,https://world.openfoodfacts.org/ingredient/whole-milk
en:e170i,True,E170i,12644,https://www.wikidata.org/wiki/Q23767,https://world.openfoodfacts.org/ingredient/e170i
en:mustard-seed,True,Mustard seed,12587,https://www.wikidata.org/wiki/Q1937700,https://world.openfoodfacts.org/ingredient/mustard-seed
en:e503,True,E503,12503,https://www.wikidata.org/wiki/Q204873,https://world.openfoodfacts.org/ingredient/e503
en:coriander,True,Coriander,12199,,https://world.openfoodfacts.org/ingredient/coriander
en:broth,True,Broth,12192,https://www.wikidata.org/wiki/Q275068,https://world.openfoodfacts.org/ingredient/broth
en:contains-2-and-less-of,False,contains-2-and-less-of,12152,,https://world.openfoodfacts.org/ingredient/contains-2-and-less-of
en:e160c,True,E160c,12136,,https://world.openfoodfacts.org/ingredient/e160c
en:vitamin-b12,True,Vitamin B12,12027,,https://world.openfoodfacts.org/ingredient/vitamin-b12
en:whole-egg,True,Whole egg,12012,,https://world.openfoodfacts.org/ingredient/whole-egg
